StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,restaurants_1,restaurants_2,4chan_1,4chan_2,gaydar_1,gaydar_2,contagion_1,contagion_2,negotiations_1,negotiations_2,petrol_1,petrol_2,healthcare_1,healthcare_2,voting_1,voting_2,censorship_1,censorship_2,crowdfund_1,crowdfund_2,judges_1,judges_2
2022-06-13 13:25:34,2022-06-13 13:32:10,0,146.179.200.44,100,395,1,2022-06-13 13:32:10,R_eR8wlw8JYUfou5z,,,,,51.4809,0.0832,anonymous,EN,20,68,97,6,90,1,80,30,50,20,90,50,2,99,68,52,59,40,100,80,70,30
2022-06-13 13:22:04,2022-06-13 13:32:13,0,146.179.195.105,100,609,1,2022-06-13 13:32:14,R_BVxWYbkO4c48DL3,,,,,51.5428,-0.1978,anonymous,EN,78,9,92,7,66,1,5,18,70,31,80,11,26,68,46,73,70,31,77,18,55,78
2022-06-13 13:23:21,2022-06-13 13:32:23,0,146.179.193.90,100,542,1,2022-06-13 13:32:24,R_2fjuQEYVz1Hw9Bb,,,,,51.4483,-0.1383,anonymous,EN,6,19,8,10,21,21,58,28,12,15,21,6,60,40,65,65,9,9,30,15,61,50
2022-06-13 13:24:27,2022-06-13 13:33:08,0,146.169.141.74,100,520,1,2022-06-13 13:33:09,R_10r447QzVR33a4O,,,,,51.4889,-0.2318,anonymous,EN,58,76,2,81,88,7,10,31,10,25,28,75,9,100,26,67,92,13,100,79,80,82
2022-06-13 13:23:26,2022-06-13 13:33:13,0,146.169.130.168,100,587,1,2022-06-13 13:33:13,R_3gSj18zqSrvuXSn,,,,,51.4889,-0.2318,anonymous,EN,65,82,86,77,86,78,69,77,63,78,81,62,67,84,76,79,71,67,71,80,81,79
2022-06-13 13:24:23,2022-06-13 13:33:25,0,146.169.137.50,100,541,1,2022-06-13 13:33:25,R_30810DIB9g1LafK,,,,,51.489,-0.215,anonymous,EN,35,5,95,30,65,0,20,40,15,55,90,65,10,90,51,10,90,60,51,80,30,80
2022-06-13 13:25:29,2022-06-13 13:33:56,0,146.169.220.121,100,506,1,2022-06-13 13:33:56,R_aVH089aDmTf2oJX,,,,,51.5113,-0.2714,anonymous,EN,50,29,50,40,1,2,19,41,20,51,3,82,51,93,3,41,19,52,3,41,72,72
2022-06-13 13:24:33,2022-06-13 13:34:43,0,163.116.162.120,100,609,1,2022-06-13 13:34:44,R_3O8FGKIp0s4T3dH,,,,,51.5164,-0.093,anonymous,EN,28,82,92,100,100,80,87,92,65,85,77,76,100,50,92,100,100,90,100,50,100,50
2022-06-13 13:25:25,2022-06-13 13:35:09,0,146.179.203.16,100,584,1,2022-06-13 13:35:10,R_1DBzKnDVqxPCfFc,,,,,51.5466,-0.1232,anonymous,EN,1,100,100,5,50,10,0,100,90,50,100,100,50,100,100,100,100,80,1,100,1,5
2022-06-13 13:23:55,2022-06-13 13:35:14,0,146.179.195.142,100,678,1,2022-06-13 13:35:14,R_1OqQQFlHDrE6FQu,,,,,51.5164,-0.093,anonymous,EN,85,76,100,50,100,0,48,45,70,49,100,2,49,50,100,0,100,100,100,100,0,47
2022-06-13 13:23:29,2022-06-13 13:36:53,0,94.119.64.3,100,804,1,2022-06-13 13:36:53,R_9LJErtFekAL3bgt,,,,,51.4964,-0.1224,anonymous,EN,91,82,90,80,20,90,60,90,30,90,80,80,20,71,90,50,90,31,82,82,60,80
2022-06-13 13:41:03,2022-06-13 13:41:08,0,146.169.196.152,8,5,0,2022-06-13 13:57:08,R_1dAhLlX2qpQNfaB,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,
2022-06-13 13:25:31,2022-06-13 13:38:06,0,94.119.64.34,92,754,0,2022-06-13 13:57:09,R_BKPDPApuDGTgBz3,,,,,,,anonymous,EN,86,62,100,0,100,0,100,93,61,93,100,20,72,0,100,81,100,72,100,40,100,29
2022-06-13 13:24:11,2022-06-13 13:31:23,0,146.179.194.197,92,432,0,2022-06-13 13:57:09,R_2YLELVp7B5LzBVM,,,,,,,anonymous,EN,20,70,100,70,100,20,100,20,100,70,100,20,100,70,100,20,100,20,100,20,100,70
2022-06-13 13:23:40,2022-06-13 13:29:52,0,146.179.206.242,92,371,0,2022-06-13 13:57:13,R_1g85E598ttqGr5O,,,,,,,anonymous,EN,38,73,40,83,33,62,77,64,49,68,77,62,85,74,76,39,82,68,81,78,77,72
2022-06-13 13:23:33,2022-06-13 13:39:28,0,146.179.196.85,92,954,0,2022-06-13 13:57:14,R_1ohZOJdHkvEkhov,,,,,,,anonymous,EN,70,22,72,16,100,5,86,10,28,71,100,5,65,85,100,55,100,17,70,76,24,93
