message,strength_position.x,conciliatory_tone.x,argument_count.x,condition,party_parta,att_check_parta,pre_manip_gun_views,persuasiveness,affect,empathy,outgroup_aff,attitude_change,gun_views_change,party_partb,gender,race,pol_id,edu,party_strength,convincing_1,convincing_2,aff_participant_1,aff_participant_2,emp_1,emp_2,att_check_partb,cond,message_id,ID,age_centered,strength_position.y,conciliatory_tone.y,argument_count.y,strength_position,conciliatory_tone,argument_count,persuasion
"While I understand your reasoning behind wanting, if not expecting, stronger gun laws, I believe that you should also consider what is being taken away from me, as well as yourself, whether you're into gun ownership, hunting, etc. or not. I understand that you may have had someone use a firearm in a negative way to, or around you, or worse. I cannot begin to understand what this would feel like, but as worn-out as the argument may be, you too have to understand that those that want to do bad things will still find ways to do-so. I would like to have the opportunity to own a firearm for both protection, which I hope it never comes to that, as well as for hobby. I'm not a hunter, but I do believe they have the same right as well, to hunt, assuming all rules are followed, just like a hobbyist gun owner.

While I understand that you have the belief that certain firearms are not needed, this is a bit of a dated argument as well, as anyone knows that is a firearm enthusiast, where there is a will there is a way, and given enough time, criminals will get what they want or need. Those that simply want to own various firearms should be allowed to, given they too follow the rules and regulations to own one. As most non gun owners do not understand, to own many of the automatic firearms the news like to use as examples or reference, as well as those you see in movies and so-on, an individual legally acquiring this firearm would do everything in their power to not lose that right as it's very time-consuming and expensive.

This thought can go along with anything if you boil it down enough. Why do people modify cars to make them faster or climb better? Airplanes, hobby boats, etc etc. It's human nature, and you can say that this is 'different' than gun ownership but at the root, it's not - there will almost always be a group that opposes something - what happens when that group comes for something you enjoy and have legally and rightfully acquired?",3,5,4,High Utility,Republican,correct,1,48,62,72.5,2,2,3.25,Democrat,1,1,2,2,2,73,69,61,63,73,72,correct,1,14,981403be,24.91444866920152,2,5,4,2.5,5,4,48
"Republican's should know one thing that the law enforced by the republic leaders are very strict which makes peoples clash with government always.
The main thing they do is the races conflicts, it was mostly followed by republican leaders to keep them in power.
No emergency decision to save our nation with COVID-19 was not taken.",1,1,0,Low Utility,Democrat,correct,3,0.3333333333333333,0,0,1,1,1,Republican,0,1,7,2,3,0,0,0,0,0,0,correct,0,15,8b50c60d,-3.0855513307984808,1,2,0,1,1.5,0,0.3333333333333333
"Having stricter gun laws can potentially reduce the amount of firearm related deaths in the United States. Just because laws are more strict, doesn't mean all gun sales will be banned. Making the laws more strict will just make it so that it's more difficult for potentially dangerous people to get a hold of a firearm. If it's more difficult for someone to get a gun, they may rethink what they are planning to do. Or, even if they do decide to continue their attack without a gun, they will have to use a weapon such as a knife which is much less likely to cause mass casualties.

Now, just because the guns are harder to get doesn't mean it's impossible for someone with bad intentions to get one. If someone really wants to get a gun to kill people with, they can obviously go and buy one on the street. However, that extra step will prevent a non insignificant amount of people from purchasing a gun. If guns can be kept out of the hands of dangerous people and only be allowed to be sold to the people who are responsible, then the country will be much better off.",3,1,2,High Utility,Democrat,correct,3,24.333333333333332,79.5,50,2,1,1.75,Republican,0,1,6,4,3,30,42,80,79,50,50,correct,1,16,377e9a7e,-12.08555133079848,3,3,2,3,2,2,24.333333333333332
"There are too many guns on the street. We need to have stricter gun laws. The places with the most guns have the most shootings. 
 Its understandable that people are worried about their   second amendment rights. But you can make stronger the gun laws and still respect gun rights.  The second amendment can be protected  and gun laws made tougher at the same time.",3,3,2,High Utility,Democrat,correct,2,4,23.5,5,2,1,2.25,Republican,1,1,6,4,3,5,6,22,25,7,3,correct,1,17,db003017,0.9144486692015192,3,3,1,3,3,1.5,4
"Stricter gun laws doesn't restrict your access to guns. No one is trying to take away your guns. They will make it harder for people who shouldn't have guns to get them. The US is the only country with this many mass shootings, so they are completely preventable with stricter gun laws.",3,1,1,Low Utility,Democrat,correct,2,4,21.5,16,4,1,3.75,Republican,1,1,6,4,2,7,4,26,17,20,12,correct,0,18,5d706627,-4.085551330798481,3,3,1,3,2,1,4
"Dear republican party, making gun laws stricter would help keep citizens safe. If less people had guns, less crimes would be caused. As guns are an easier weapon to operate, and take but one shot to kill, crimes are easy to carry out, as well as quicker. Because of this, more crimes are committed with guns, than crimes committed if guns were less available. Less guns around would also teach younger generations to think less about guns and weapons.

I know the republican party is worried about self-defense. If there was less guns, there would be less self-defense. However, there would be less criminals with guns as well. Some criminals would smuggle in guns, but those criminals would be around either way. There would be less criminals in general, so more people would be safer. We would have to rework our police system to be better, more fair towards everyone, and to protect people more. Hopefully over generations, people would be less inclined to commit crime, and use guns less.",3,3,4,High Utility,Democrat,correct,2,56.666666666666664,93.5,92.5,5,3,3.25,Republican,0,1,1,3,3,77,90,92,95,91,94,correct,1,19,90bbee91,-1.0855513307984808,3,4,5,3,3.5,4.5,56.666666666666664
"Stricter gun laws should be favored because without as many guns available, there will be fewer gun crimes. If there are 1,000 guns, then the possibility of gun crimes will be lower than if there are 100,000 guns. Even if you take into account illegally obtained guns, the fewer guns that are available will diminish the number of gun-violence crimes. Without the instrument of the crime, the numbers will go down.",3,1,1,High Utility,Democrat,correct,2,0.3333333333333333,19,1,1,1,1,Republican,0,1,6,2,3,0,0,27,11,2,0,correct,1,20,bb12735e,-9.08555133079848,3,2,1,3,1.5,1,0.3333333333333333
"I understand that fear is a big issue in this debate and I can understand that especially in today's world.  First of all, many people believe that it is their constitutional right to have a gun and that someone (like me) is trying to take away that right.  But that is not exactly what the constitution says.

Also on that subject, no one is trying to take away everyone's guns.  People who like to hunt for food that will feed their families should still have that right.  But people such as big game hunters who want to kill endangered species for sport should not.

Also on the subject of fear we live in a time of angry or mentally unbalanced people who own guns.  Of course I am frightened by that also.  But having a gun to retaliate in self-defense is more likely to contribute to more people being killed not less.",3,2,3,High Utility,Democrat,correct,2,0.3333333333333333,5,0,1,1,1,Republican,1,1,6,2,3,0,0,0,10,0,0,correct,1,21,6b28993c,21.91444866920152,3,5,3,3,3.5,3,0.3333333333333333
"I feel we should be in favor of stricter gun laws for the positive economic impacts it has. In addition, the less people unnecessarily dying due to gun violence can allow communities to becomes more closely connected and efficient.",3,1,2,Low Utility,Democrat,correct,2,7.333333333333333,40,15,3,2,3,Republican,0,1,6,2,2,10,10,40,40,15,15,correct,0,22,a260a9f0,2.9144486692015192,3,3,2,3,2,2,7.333333333333333
"We have seen time and time again that unrestricted gun ownership leads to greater levels of gun crime. There are few actual cases of the good guy with the gun shutting it down. There is no reason to not support universal background checks, age limits, mental health checks, and licensing. Universal background checks will help reduce (note I did not claim it will prevent) gun crimes. There is no reason why a convicted wife-beater or violent person should have access to a gun. The same goes for children and teens. Yes, they should be able to hunt with their parents, but they do not need to be the owner of the guns and all should be locked up to ensure they cannot be accessed without adult supervision. We also should ensure that people with known mental issues cannot access guns for their well being and that of the general population.",3,1,4,Low Utility,Democrat,correct,3,13.666666666666666,45,35,3,1,3,Republican,0,1,5,3,2,20,20,45,45,40,30,correct,0,23,602cf944,-2.0855513307984808,3,3,2,3,2,3,13.666666666666666
"I am asking you to support only certain gun control laws. I must begin by saying that I am not arguing that gun ownership should be banned--rather, there should be specific stricter laws controlling sale and possession of guns. First, even many supporters favoring less strict guns laws commonly support the proposition that felons and mentally disabled persons should be able to possess guns. There should be laws prohibiting gun possession in sensitive places as well, such as schools and government buildings, except for security personnel. A common worry is that if these places like schools prohibit gun possession, no one would be able to defend against a person who is threatening violence. I am not asking you adopt this absolute position. We can pass these gun control laws while providing for exceptions for gun possession by security guards or certain responsible person(s) on school grounds, government properties, and the like. Another proposition that I am asking for your support is for laws prohibiting high capacity magazines. They are used for mass shootings and increase the likelihood of harm for many people. Again, support for this gun control law does not have to be absolute--perhaps we can meet in the middle in limiting which type of high capacity magazines should be banned (for example, those with 30 rounds, 90 rounds, etc.). I believe working together on these goals together in passing stricter gun laws will make our country better for our children at the same time we are preserving our country's Second Amendment rights.",3,4,4,Low Utility,Democrat,correct,2,44,80,80,3,2,4,Republican,0,1,5,4,2,65,65,80,80,75,85,correct,0,24,349ee73b,-9.08555133079848,2,3,2,2.5,3.5,3,44
"Stricter gun laws are for the most part unnecessary. Very strict gun laws already exist and are not well enforced. Guns are banned around schools and in major metropolitan areas already. This has not reduced the gun violence in those areas. These rules are not enforced or truly enforceable so only exist to disarm those that follow the laws.
  It seems to be more accurate that in areas of people who have a higher concentration of legal gun ownership have lower rates of gun violence. People who understand the proper legal use of firearms are less likely to be involved in accidents or commit gun crimes.",3,1,5,Low Utility,Republican,correct,1,2.6666666666666665,15.5,12.5,1,1,1.25,Democrat,1,2,4,3,2,6,1,16,15,20,5,correct,0,25,40c1a6e9,-13.08555133079848,3,2,3,3,1.5,4,2.6666666666666665
"Stricter gun control laws are beneficial to everyone. By limiting who can own a gun, we are ensuring the rights of responsible gun owners while protecting society from those who should not have access to weapons. Most average citizens should have no problem passing a background check, which will help ensure that gun ownership is limited to those who do not have criminal backgrounds or mental issues.

By limiting gun ownership, we will reduce the number of weapons that fall into the hands of criminals. Fewer guns mean fewer opportunities for criminals to obtain firearms illegally. 

Further, some types of weapons, such as assault rifles, should be banned. These types of weapons should be reserved for the military. The average citizen does not need such high-powered weapons for protection or for hunting. Such weapons pose a huge public risk and only serve to turn the general public against guns and threaten existing gun rights for honest, law-abiding citizens.",3,1,3,Low Utility,Democrat,correct,2,48,64,71,3,2,3,Republican,1,1,5,3,2,71,71,64,64,59,83,correct,0,26,4aef0efa,-2.0855513307984808,3,4,3,3,2.5,3,48
"Mass shootings occur in America way too frequently. In fact, most countries average less than. one mass shooting a year, while we eclipse them manyfold. These mass shootings occur because of too easy access to guns and other weapons. Stricter gun laws would protect the greater population from these killings occurring. I am not asking for radical gun laws that impede on the second amendment. I am asking for a guideline in line with other license policies in this country. For example, we have permits and license requirements for driving. Gun ownership would be safer if we also had a permit then licensing requirement. Prospective gun owners would have to pass a written and physical test to prove safe gun practices, then be allowed to purchase.",3,2,3,High Utility,Democrat,correct,2,35.333333333333336,48.5,68.5,3,3,3,Republican,0,1,4,2,2,38,65,60,37,64,73,correct,1,27,c6b6361b,-1.0855513307984808,3,3,2,3,2.5,2.5,35.333333333333336
"Time and time again lives have been wasted on the account of guns getting into the hands of some deranged individuals who have no business owning a gun.

Stricter gun laws do not mean you cannot get a gun.  Having stricter gun laws makes it possible for individuals with mental health problems to be fished out before they cause any mayhem to the society. 

Take for example the parkland shooting incident that wasted the precious lives of 17 people both students and staff. This incident would have been easily avoided if the young man responsible was properly vetted in the cause of buying a gun. Nikolas Cruz purchasing a gun legally showed how easy it is for people that are mentally challenged to get their hands on a gun. 

Regardless of which party one is affiliated with, taking a position on gun laws that is geared towards saving lives should be embraced instead of allowing it to divide us .",3,1,1,Low Utility,Democrat,correct,2,6,40,35.5,3,1,4.25,Republican,0,1,5,4,3,9,8,40,40,10,61,correct,0,28,7c12b918,20.91444866920152,3,2,1,3,1.5,1,6
"When there is an issue, it is important to look at all parts of that issue and see what can be done about it. There is a huge issue with gun violence in this country where we have almost become numb to hearing about another shooting. The perpetrators in many of these situations could be helped by other entities to help with mental health, connecting to resources, etc. and, while it is true that these individuals would get access to firearms if they truly wanted to, it never hurts to try to make it a bit more difficult. 
Car accidents kill thousands of people every year and to be able to drive a vehicle, you must pass multiple tests (written and behind the wheel), pass safety requirements (vision test), and submit to ongoing checks if you wish to be able to retain the ability to drive (renewing your license). To me, this system is the least we can do for guns. Pass basic skill tests, basic safety tests, on going oversight, etc. before being able to take a gun instead of the short waiting period could be enough to stop some mass shootings. It isn't the only answer but it may be part of the answer. 
I am not anti gun. I understand the desire to have a gun for safety or for pleasure. To me, it is about making it a safer environment by at least making it slightly more difficult to acquire one in the first place.",3,2,3,High Utility,Democrat,correct,2,45.333333333333336,72,71,3,1,2.75,Republican,1,1,6,2,3,67,68,72,72,64,78,correct,1,29,9a6f18da,-10.08555133079848,2,5,2,2.5,3.5,2.5,45.333333333333336
"I hear that you feel that stricter gun laws would be good for society for one view about improved security and safety. I want my family and everyone to be safe and secure too. My view though is that the guns themselves can be unintentionally or accidentally used. People, even small children, die in accidental shootings and every accidental shooting victim is a precious person we would want to see live. With an open heart and mind, let us consider the other side of stricter gun laws to protect lives and safety, especially of children and innocent persons.",3,5,2,High Utility,Democrat,correct,2,33,75.5,61.5,3,2,3.5,Republican,1,1,6,3,3,47,50,75,76,51,72,correct,1,30,97bee93a,-15.08555133079848,3,5,1,3,5,1.5,33
"Our children are in danger with the gun laws that are in effect right now. Young people have legal access to guns at an alarming rate. What if it was your child that was caught in the crossfire at the next school shooting? What if your child was the next school shooter?

I don't want to take anyone's 2nd amendment right away from them. I aim to only make it more difficult for those who may be suffering from some type of mental breakdown from obtaining their next rifle.",3,2,2,High Utility,Democrat,correct,2,11.333333333333334,29.5,27,3,1,3,Republican,1,1,6,2,3,13,20,19,40,29,25,correct,1,31,e7ea2c30,9.91444866920152,2,4,2,2.5,3,2,11.333333333333334
"I think you should consider supporting stricter gun laws because it serves your own self interest.  There are millions of gun owners who obey the law and enjoy owning firearms safely.  It is only a minority of people who present a danger and if we make stronger gun restrictions to keep guns out of the hands of that smaller portion of society that will misuse firearms, you will be able to continue your gun ownership unabated.  You are a good gun owner.  These restrictions wouldn't affect you.  It would only affect those who present a risk if they own a gun without a proper background check.",3,5,2,Low Utility,Democrat,correct,2,0.3333333333333333,0,5,1,1,1,Republican,0,1,7,1,2,0,0,0,0,5,5,correct,0,32,4212109a,-13.08555133079848,3,4,1,3,4.5,1.5,0.3333333333333333
"The Constitution and Bill of Rights have been guiding beacons for America since our birth in 1776. We have used them to initially form a moral compass, and, through the years, improve them even more by adding additional amendments beyond the first ten. Times change, people change, attitudes change and a fully functioning modern society must be flexible to listen and absorb those changes.

Multiple recent polls indicate that 80 - 90% of Americans support a background check for ALL gun purchases. Think about that... It's difficult to get a large group of people to agree on many things, but we as Americans agree that guns sales should be 100% airtight with respect to legality and safety. It is understandable that many take a literal interpretation of the 2nd Amendment, but this vast a majority indicates millions of gun owners want the sale of guns to be safe. Gun laws that create additional safety means you will be safer, your family will be safer and society as a whole will be safer.",3,2,3,High Utility,Democrat,correct,2,30.333333333333332,67,55.5,4,1,3.25,Republican,0,1,5,2,2,50,40,54,80,61,50,correct,1,33,497c03e5,-14.08555133079848,2,5,2,2.5,3.5,2.5,30.333333333333332
"Guns are way too accessible in this country, which often leads to detrimental results. The sole purpose of firearms is to cause harm or kill other living things, regardless of whether or not it is self protection. In recent years, we have seen an uptick in guns getting into the wrong hands and causing innocent lives to be taken as a result. There have been countless shootings from our children's schools to your local shopping center, and enough is enough. 

The argument that Americans should own guns to protect others and themselves in these situations is also baseless. Every day, we hear more stories about another senseless shooting because a gun got into the wrong hands. We never hear about some civilian with a gun saving others from a mass shooting. In fact, we are now actually hearing that civilians feel the need to take the law into their own hands by shooting to kill, which is not even something that police officers should be allowed to do.

How many more innocent lives need to be lost before we do something about this? America's stance on guns has caused more shooting-related deaths than most other comparable countries. Guns are not the answer, they are the problem.",2,1,2,Low Utility,Democrat,correct,2,1,14.5,1,1,1,1,Republican,1,1,6,2,3,1,1,19,10,1,1,correct,0,34,6d691506,4.914448669201519,1,3,2,1.5,2,2,1
"When you think of shootings it is usually a mental health problem not a gun problem.  Unfortunately people who want guns that should not have them, will get them. Stricter laws will not change that.
What we really need to fix is our mental health system. Keep guns in the hands of responsible people.
",4,1,2,High Utility,Republican,correct,1,10,39,28.5,2,1,1.75,Democrat,0,1,3,2,2,11,18,42,36,36,21,correct,1,35,4183bc4d,-10.08555133079848,4,3,1,4,2,1.5,10
"I think that stricter gun laws could do the opposite of what you are trying to pursue. Take for instance the case of Austraila they gave up their guns and are now defenseless. They are being locked in their houses because of the covid and have no means to fight back. Would ending up lack that suit your needs. Not being able to fight back and stand for your rights. 
All it starts with is making gun laws stricter. Then once that happens more and more laws are implemented. Once people start following without question. Then they finally take the guns away and people cant protect themselves any more.",3,1,1,Low Utility,Republican,correct,1,32.666666666666664,49,50,4,1,1.75,Democrat,0,1,1,1,3,41,56,52,46,50,50,correct,0,36,95114de1,-18.08555133079848,4,2,2,3.5,1.5,1.5,32.666666666666664
"Even given a basic knowledge of gun regulation, when it comes to gun control laws, 2 things scream out at me, blatantly apparent: 1. that there is a critical need for stricter gun laws and 2. these laws to not need to impede on an Americans right to bear arms. Yes, we can all win; we can improve safety and curb violence and, crucially, we can uphold our right to bear arms. 
     Frequently-as with so many other issues-the matter of gun laws is painted (typically by the media) in tones of black and white, which is, frankly, ridiculous. Gun owners understandably get worried that someone will take their guns or make their current firearms illegal, and any laws need to be sensitive to that. But there should be basic, common sense changes to screening measures and waiting periods, and these changes need not effect current gun owners or impede our basic rights.  
     Specifically, we always do background checks, screening for mental illness, and any felonies; one should not be able to go to a gun show and walk away with a weapon. We should consider extending the waiting period, and mandating that guns are better kept away from children. We should consider inacting a law that any individual wanting to own an assault weapon must have a permit (similar to the conceal and carry permit). We should consider making large drum type magazines for assault weapons illegal. However, it is crucial to note that every current gun owner should be grandfathered in and not subject to these laws when it comes to their currently owned firearms (as in, they are exempt from legislation for their current weapons). They should, under no circumstances, have to give up their currently owned arms, and no right should be given to any law enforcement or other agency to seize them under new legislation. Further, there should be a introductory phase of new legislation totalling at least a year wherein the laws are slowly being introduced. Gun owners need to be held accountable for their disgruntled kids shooting up schools, and no, that shouldn't mean that you can't go hunting with your boy.
     Such laws would not impede on the rights of gun owners while also increasing gun safety. We can no longer ignore that guns are falling into the wrong hands. Disgruntled kids especially are shooting up schools to the point that it is quite ridiculous; kids should not go to school afraid of dying. Other deranged individuals and gangs can (and do) obtain assault weapons and wreak havok. We need to do whatever we can to keep guns away from them. Of course guns don't kill people, people kill people, but making it harder for these individuals to obtain weapons will have a positive effect. It is not the cure all for this situation, and we need to take a hard look at underlying causes in the case of kids shooting up schools (personally I think social media and bullying needs a hard look), perhaps consider mental health evaluations for high risk kids and make those that ignore the warning signs accountable. But we need to do everything we can to curb the violence; kids should not be dying because a gun owner can't keep their weapons adequately locked up, or because a mentally ill individual can go to a gun show and walk away with a weapon of war.",3,5,4,Low Utility,Democrat,correct,2,27.666666666666668,54.5,27.5,1,1,2.25,Republican,0,3,6,3,3,41,41,48,61,30,25,correct,0,37,ef8198aa,8.91444866920152,3,5,4,3,5,4,27.666666666666668
"I don't think that you want that guns should be banned from private citizens.  I don't think that either.  I don't think anyone would object to less people dying while people could still own and use guns.  That's why a few well designed restrictions on on gun purchasing could still allow people to have, use, and own firearms, but reduce the death toll of gun balance. 

 First, a waiting period doesn't hurt legitimate gun users.  It would stop people from making rash reactions, particularly as suicide is often a use of guns.  People with legitimate needs to have concealed weapons could still have them - they would just have to plan ahead some. Second, buying massive firepower doesn't seem to have any use in ""self-defense"".  Large cases and fully automatic rifles don't seem compatible with sport usage or self defense.  finally, background checks to make sure that people with criminal backgrounds or mental health problems will help keep guns out of the wrong hands.  Who wants convicted felons to have guns?

These proposals won't stop all crimes committed with guns.  But they can reduce the occurrence of those crimes without stripping people of their second amendment rights.",3,5,8,High Utility,Democrat,correct,3,0.3333333333333333,0,0,1,1,1,Republican,0,1,6,4,3,0,0,0,0,0,0,correct,1,38,cbc4df65,-10.08555133079848,4,4,5,3.5,4.5,6.5,0.3333333333333333
"Stricter gun laws are very important for our society.  Stricter gun laws would have a major impact on reducing crimes.  In addition, these stricter gun laws could quite possible give those who are contemplating committing crimes with guns a more stringent and difficult ways to access guns illegally.

In addition, stricter gun laws could prevent someone we love and care about from being the victim of a crime.  Stricter gun laws would save lives and make it more difficult to obtain guns illegally.",3,1,4,High Utility,Democrat,correct,3,9,41.5,11,2,1,1.75,Republican,1,1,6,2,1,13,13,42,41,20,2,correct,1,39,fa4181ec,10.91444866920152,3,3,2,3,2,3,9
